ï»¿id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
742,"Berber, Mersad",Male,born 1940,1940,,"Bosanski Petrovac, Bosna i Hercegovina",,http://www.tate.org.uk/art/artists/mersad-berber-742
13197,"Colvin, Calum",Male,born 1961,1961,,"Glasgow, United Kingdom",,http://www.tate.org.uk/art/artists/calum-colvin-13197
8296,"Monk, Jonathan",Male,born 1969,1969,,"Leicester, United Kingdom",,http://www.tate.org.uk/art/artists/jonathan-monk-8296
706,"Baumgarten, Lothar",Male,born 1944,1944,,"Rheinsberg, Deutschland",,http://www.tate.org.uk/art/artists/lothar-baumgarten-706
575,"Walker, Frederick",Male,1840â€“1875,1840,1875,"London, United Kingdom","Saint Fillans, United Kingdom",http://www.tate.org.uk/art/artists/frederick-walker-575
510,"Smythe, Lionel Percy",Male,1840â€“1918,1840,1918,"London, United Kingdom","Wimereux, France",http://www.tate.org.uk/art/artists/lionel-percy-smythe-510
2350,"Downton, John",Male,1906â€“1991,1906,1991,"Kent, United Kingdom",,http://www.tate.org.uk/art/artists/john-downton-2350
4731,"Barclay, Claire",Female,born 1968,1968,,"Paisley, United Kingdom",,http://www.tate.org.uk/art/artists/claire-barclay-4731
1020,"Donaldson, Antony",Male,born 1939,1939,,"Godalming, United Kingdom",,http://www.tate.org.uk/art/artists/antony-donaldson-1020
2057,"Torner, Gustavo",Male,born 1925,1925,,"Cuenca, EspaÃ±a",,http://www.tate.org.uk/art/artists/gustavo-torner-2057
4381,"Bowen, Denis",Male,1921â€“2006,1921,2006,"Kimberley, South Africa",,http://www.tate.org.uk/art/artists/denis-bowen-4381
6558,"Goldblatt, David",Male,born 1930,1930,,"Randfontein, South Africa",,http://www.tate.org.uk/art/artists/david-goldblatt-6558
1743,"Partridge, David",Male,1919â€“2006,1919,2006,"Akron, United States","Toronto, Canada",http://www.tate.org.uk/art/artists/david-partridge-1743
342,"Leighton, Lord Frederic",Male,1830â€“1896,1830,1896,"Scarborough, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frederic-lord-leighton-342
1150,"Geoffrey, Iqbal",Male,born 1939,1939,,"Chiniot, Pakistan",,http://www.tate.org.uk/art/artists/iqbal-geoffrey-1150
12117,"Miller, Harland",Male,born 1964,1964,,"Yorkshire, United Kingdom",,http://www.tate.org.uk/art/artists/harland-miller-12117
2265,"Frye, Thomas",Male,1710â€“1762,1710,1762,Ã‰ire,,http://www.tate.org.uk/art/artists/thomas-frye-2265
395,"Murray, Sir David",Male,1849â€“1933,1849,1933,"Glasgow, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-david-murray-395
846,"Cahn, Miriam",Female,born 1949,1949,,"Basel, Schweiz",,http://www.tate.org.uk/art/artists/miriam-cahn-846
